"CommHouse","Date","Time","Type","Action","LastName","FirstName","MiddleName","Position","Term","Resides_At","ModDate"
"S","1/25/2024","12:00 PM","Quorum","Referred To Committee","Calviello","David","V.","to be a Judge of the Superior Court","to succeed The Honorable Keith A. Bachmann, following his retirement, for the term prescribed by law, ending 7 years from the date of appointment.","Oakland",1/25/2024 0:00:00
"S","3/7/2024","12:00 PM","Quorum","Reported From Committee","Calviello","David","V.","to be a Judge of the Superior Court","to succeed The Honorable Keith A. Bachmann, following his retirement, for the term prescribed by law, ending 7 years from the date of appointment.","Oakland",3/7/2024 0:00:00
"S","3/18/2024","11:00 AM","Session","Advise and Consent","Calviello","David","V.","to be a Judge of the Superior Court","to succeed The Honorable Keith A. Bachmann, following his retirement, for the term prescribed by law, ending 7 years from the date of appointment.","Oakland",3/18/2024 0:00:00
"S","11/18/2024","12:00 PM","Quorum","Referred To Committee","Campbell","Diane"," ","to be a member of the Thomas Edison State University Board of Trustees","to replace Kemi Alli, for the term prescribed by law, currently set to expire June 30, 2029.","Trenton",11/18/2024 0:00:00
"S","2/25/2025","01:00 PM","Session","Advise and Consent","Campbell","Diane"," ","to be a member of the Thomas Edison State University Board of Trustees","to replace Kemi Alli, for the term prescribed by law, currently set to expire June 30, 2029.","Trenton",2/25/2025 0:00:00
"S","2/20/2025","12:00 PM","Quorum","Reported From Committee","Campbell","Diane"," ","to be a member of the Thomas Edison State University Board of Trustees","to replace Kemi Alli, for the term prescribed by law, currently set to expire June 30, 2029.","Trenton",2/20/2025 0:00:00
"SJU","2/20/2025","11:00 AM","Meeting","Considered","Campbell","Diane"," ","to be a member of the Thomas Edison State University Board of Trustees","to replace Kemi Alli, for the term prescribed by law, currently set to expire June 30, 2029.","Trenton",2/13/2025 0:00:00
"S","1/12/2026","12:00 PM","Session","Reported From Committee","Campbell","Donald"," ","to be a member of the State Council on Developmental Disabilities","to replace David Tag, for the term prescribed by law, currently set to expire January 9, 2027.","Tuckerton",1/12/2026 0:00:00
"S","1/12/2026","12:00 PM","Session","Advise and Consent","Campbell","Donald"," ","to be a member of the State Council on Developmental Disabilities","to replace David Tag, for the term prescribed by law, currently set to expire January 9, 2027.","Tuckerton",1/12/2026 0:00:00
"SJU","1/12/2026","10:00 AM","Meeting","Considered","Campbell","Donald"," ","to be a member of the State Council on Developmental Disabilities","to replace David Tag, for the term prescribed by law, currently set to expire January 9, 2027.","Tuckerton",1/10/2026 0:00:00
"S","9/19/2024","12:00 PM","Quorum","Referred To Committee","Campbell","Donald"," ","to be a member of the State Council on Developmental Disabilities","to replace David Tag, for the term prescribed by law, currently set to expire January 9, 2027.","Tuckerton",9/19/2024 0:00:00
"S","3/18/2024","11:00 AM","Session","Advise and Consent","Capano","Natalie","R.","to be a Judge of the Superior Court","to succeed The Honorable Rachelle Lea Harz, following her retirement, for the term prescribed by law, ending 7 years from the date of appointment.","Allendale",3/18/2024 0:00:00
"S","3/7/2024","12:00 PM","Quorum","Reported From Committee","Capano","Natalie","R.","to be a Judge of the Superior Court","to succeed The Honorable Rachelle Lea Harz, following her retirement, for the term prescribed by law, ending 7 years from the date of appointment.","Allendale",3/7/2024 0:00:00
"S","1/25/2024","12:00 PM","Quorum","Referred To Committee","Capano","Natalie","R.","to be a Judge of the Superior Court","to succeed The Honorable Rachelle Lea Harz, following her retirement, for the term prescribed by law, ending 7 years from the date of appointment.","Allendale",1/25/2024 0:00:00
"SJU","3/7/2024","10:00 AM","Meeting","Interviewed","Capano","Natalie","R.","to be a Judge of the Superior Court","to succeed The Honorable Rachelle Lea Harz, following her retirement, for the term prescribed by law, ending 7 years from the date of appointment.","Allendale",2/29/2024 0:00:00
"SJU","6/28/2024","11:30 AM","Meeting","Interviewed","Capotorto","Thomas","D.","to be a Judge of the Division of Workers' Compensation","for the term prescribed by law, ending 3 years from the date of appointment.","Westfield",6/27/2024 0:00:00
"S","6/28/2024","02:00 PM","Session","Reported From Committee","Capotorto","Thomas","D.","to be a Judge of the Division of Workers' Compensation","for the term prescribed by law, ending 3 years from the date of appointment.","Westfield",6/28/2024 0:00:00
"S","6/28/2024","02:00 PM","Session","Advise and Consent","Capotorto","Thomas","D.","to be a Judge of the Division of Workers' Compensation","for the term prescribed by law, ending 3 years from the date of appointment.","Westfield",6/28/2024 0:00:00
"S","6/20/2024","12:00 PM","Quorum","Referred To Committee","Capotorto","Thomas","D.","to be a Judge of the Division of Workers' Compensation","for the term prescribed by law, ending 3 years from the date of appointment.","Westfield",6/20/2024 0:00:00
"S","1/14/2025","01:00 PM","Session","Referred To Committee","Carabelli","Richard"," ","to be a member of the Mercer County Board of Taxation","to succeed himself, for the term prescribed by law, currently set to expire May 1, 2027.","Hamilton",1/14/2025 0:00:00
"S","3/24/2025","01:00 PM","Session","Advise and Consent","Carabelli","Richard"," ","to be a member of the Mercer County Board of Taxation","to succeed himself, for the term prescribed by law, currently set to expire May 1, 2027.","Hamilton",3/24/2025 0:00:00
"S","3/24/2025","01:00 PM","Session","Reported From Committee","Carabelli","Richard"," ","to be a member of the Mercer County Board of Taxation","to succeed himself, for the term prescribed by law, currently set to expire May 1, 2027.","Hamilton",3/24/2025 0:00:00
"SJU","3/24/2025","11:00 AM","Meeting","Considered","Carabelli","Richard"," ","to be a member of the Mercer County Board of Taxation","to succeed himself, for the term prescribed by law, currently set to expire May 1, 2027.","Hamilton",3/19/2025 0:00:00
"SJU","3/24/2025","11:00 AM","Meeting","Considered","Carbone","Michael"," ","to be a member of the Rowan University Board of Trustees","to succeed himself, for the term prescribed by law, currently set to expire June 30, 2029.","Estero, FL.",3/19/2025 0:00:00
"S","3/24/2025","01:00 PM","Session","Reported From Committee","Carbone","Michael"," ","to be a member of the Rowan University Board of Trustees","to succeed himself, for the term prescribed by law, currently set to expire June 30, 2029.","Estero, FL.",3/24/2025 0:00:00
"S","3/24/2025","01:00 PM","Session","Advise and Consent","Carbone","Michael"," ","to be a member of the Rowan University Board of Trustees","to succeed himself, for the term prescribed by law, currently set to expire June 30, 2029.","Estero, FL.",3/24/2025 0:00:00
"S","11/18/2024","12:00 PM","Quorum","Referred To Committee","Carbone","Michael"," ","to be a member of the Rowan University Board of Trustees","to succeed himself, for the term prescribed by law, currently set to expire June 30, 2029.","Estero, FL.",11/18/2024 0:00:00
"S","9/19/2024","12:00 PM","Quorum","Referred To Committee","Cardone","Jessica","L.","to be the Warren County Prosecutor","to succeed James Pfeiffer, for the term prescribed by law, ending 5 years from the date of appointment.","Phillipsburg",9/19/2024 0:00:00
"SJU","12/22/2025","10:00 AM","Meeting","Interviewed","Cardone","Jessica","L.","to be the Warren County Prosecutor","to succeed James Pfeiffer, for the term prescribed by law, ending 5 years from the date of appointment.","Phillipsburg",12/19/2025 0:00:00
"S","12/22/2025","01:00 PM","Session","Advise and Consent","Cardone","Jessica","L.","to be the Warren County Prosecutor","to succeed James Pfeiffer, for the term prescribed by law, ending 5 years from the date of appointment.","Phillipsburg",12/22/2025 0:00:00
"S","12/22/2025","01:00 PM","Session","Reported From Committee","Cardone","Jessica","L.","to be the Warren County Prosecutor","to succeed James Pfeiffer, for the term prescribed by law, ending 5 years from the date of appointment.","Phillipsburg",12/22/2025 0:00:00
"S","1/12/2026","12:00 PM","Session","Reported From Committee","Carr","Leonard"," ","to be a member of the State Investment Council","to succeed himself, for the term prescribed by law.","West Orange",1/12/2026 0:00:00
"S","1/12/2026","12:00 PM","Session","Reported From Committee","Carr","Leonard"," ","to be a member of the Montclair State University - Board of Trustees","to replace Rose Cali, for the term prescribed by law.","West Orange",1/12/2026 0:00:00
"S","1/12/2026","12:00 PM","Session","Advise and Consent","Carr","Leonard"," ","to be a member of the State Investment Council","to succeed himself, for the term prescribed by law.","West Orange",1/12/2026 0:00:00
"S","1/12/2026","12:00 PM","Session","Advise and Consent","Carr","Leonard"," ","to be a member of the Montclair State University - Board of Trustees","to replace Rose Cali, for the term prescribed by law.","West Orange",1/12/2026 0:00:00
"SJU","1/12/2026","10:00 AM","Meeting","Considered","Carr","Leonard"," ","to be a member of the State Investment Council","to succeed himself, for the term prescribed by law.","West Orange",1/10/2026 0:00:00
"SJU","1/12/2026","10:00 AM","Meeting","Considered","Carr","Leonard"," ","to be a member of the Montclair State University - Board of Trustees","to replace Rose Cali, for the term prescribed by law.","West Orange",1/10/2026 0:00:00
"S","12/8/2025","12:00 AM","Quorum","Referred To Committee","Carr","Leonard"," ","to be a member of the State Investment Council","to succeed himself, for the term prescribed by law.","West Orange",12/8/2025 0:00:00
"S","12/8/2025","12:00 AM","Quorum","Referred To Committee","Carr","Leonard"," ","to be a member of the Montclair State University - Board of Trustees","to replace Rose Cali, for the term prescribed by law.","West Orange",12/8/2025 0:00:00
"S","1/25/2024","12:00 PM","Quorum","Referred To Committee","Carr-Volpe","Rita"," ","to be a member of the Victims of Crime Compensation Review Board","to succeed herself, for the term prescribed by law, currently set to expire on June 25, 2025.","Bridgeton",1/25/2024 0:00:00
"S","12/18/2025","01:00 PM","Session","Referred To Committee","Carroll","Thomas"," ","to be a member of the New Jersey Cultural Trust Board of Trustees","to succeed himself, for the term prescribed by law.","Cape May",12/18/2025 0:00:00
"S","12/18/2025","01:00 PM","Session","Advise and Consent","Carvalho","Carlos"," ","to be a member of the Union County Board of Taxation","to replace Amelia Mapp, for the term prescribed by law.","Elizabeth",12/18/2025 0:00:00
"SJU","12/15/2025","10:00 AM","Meeting","Considered","Carvalho","Carlos"," ","to be a member of the Union County Board of Taxation","to replace Amelia Mapp, for the term prescribed by law.","Elizabeth",12/12/2025 0:00:00
"S","12/4/2025","12:00 AM","Quorum","Referred To Committee","Carvalho","Carlos"," ","to be a member of the Union County Board of Taxation","to replace Amelia Mapp, for the term prescribed by law.","Elizabeth",12/4/2025 0:00:00
"S","12/15/2025","12:00 AM","Quorum","Reported From Committee","Carvalho","Carlos"," ","to be a member of the Union County Board of Taxation","to replace Amelia Mapp, for the term prescribed by law.","Elizabeth",12/15/2025 0:00:00
"S","1/25/2024","12:00 PM","Quorum","Referred To Committee","Case","Kim"," ","to be a member of the State Employment and Training Commission","to replace Sally Nadler, for the term prescribed by law, currently set to expire June 28, 2026.","Gillette",1/25/2024 0:00:00
"S","12/4/2025","12:00 AM","Quorum","Referred To Committee","Casey","Mary","H.","to be a Judge of the Division of Workers' Compensation","to succeed herself, for the term prescribed by law.","Brielle",12/4/2025 0:00:00
"SJU","1/8/2026","10:00 AM","Meeting","Interviewed","Casey","Mary","H.","to be a Judge of the Division of Workers' Compensation","to succeed herself, for the term prescribed by law.","Brielle",12/30/2025 0:00:00
"S","1/8/2026","12:00 PM","Quorum","Reported From Committee","Casey","Mary","H.","to be a Judge of the Division of Workers' Compensation","to succeed herself, for the term prescribed by law.","Brielle",1/8/2026 0:00:00
"S","1/12/2026","12:00 PM","Session","Advise and Consent","Casey","Mary","H.","to be a Judge of the Division of Workers' Compensation","to succeed herself, for the term prescribed by law.","Brielle",1/12/2026 0:00:00
"SJU","3/14/2024","10:00 AM","Meeting","Interviewed","Casson Cotroneo","Ronda"," ","to be a Judge of the Superior Court","to succeed Hon. Ernest M. Caposela, following his retirement, for the term prescribed by law, ending 7 years from the date of appointment.","Ringwood",3/12/2024 0:00:00
"S","3/18/2024","11:00 AM","Session","Advise and Consent","Casson Cotroneo","Ronda"," ","to be a Judge of the Superior Court","to succeed Hon. Ernest M. Caposela, following his retirement, for the term prescribed by law, ending 7 years from the date of appointment.","Ringwood",3/18/2024 0:00:00
"S","2/12/2024","11:00 AM","Session","Referred To Committee","Casson Cotroneo","Ronda"," ","to be a Judge of the Superior Court","to succeed Hon. Ernest M. Caposela, following his retirement, for the term prescribed by law, ending 7 years from the date of appointment.","Ringwood",2/12/2024 0:00:00
"S","3/14/2024","12:00 PM","Quorum","Reported From Committee","Casson Cotroneo","Ronda"," ","to be a Judge of the Superior Court","to succeed Hon. Ernest M. Caposela, following his retirement, for the term prescribed by law, ending 7 years from the date of appointment.","Ringwood",3/14/2024 0:00:00
"S","12/8/2025","12:00 AM","Quorum","Referred To Committee","Cedeno","Fanny"," ","to be a member of the Port Authority of New York and New Jersey","to replace Joseph Kelley, for the term prescribed by law.","Union City",12/8/2025 0:00:00
"S","12/15/2025","12:00 AM","Quorum","Reported From Committee","Cedeno","Fanny"," ","to be a member of the Port Authority of New York and New Jersey","to replace Joseph Kelley, for the term prescribed by law.","Union City",12/15/2025 0:00:00
"S","12/18/2025","01:00 PM","Session","Advise and Consent","Cedeno","Fanny"," ","to be a member of the Port Authority of New York and New Jersey","to replace Joseph Kelley, for the term prescribed by law.","Union City",12/18/2025 0:00:00
"SJU","12/15/2025","10:00 AM","Meeting","Interviewed","Cedeno","Fanny"," ","to be a member of the Port Authority of New York and New Jersey","to replace Joseph Kelley, for the term prescribed by law.","Union City",12/12/2025 0:00:00
"SJU","1/8/2026","10:00 AM","Meeting","Considered","Chandler","Vedra"," ","to be a member of the New Jersey State Council on the Arts","to replace Lana Gold Walder, for the term prescribed by law, currently set to expire December 12, 2027.","Camden",1/6/2026 0:00:00
"S","1/8/2026","12:00 PM","Quorum","Reported From Committee","Chandler","Vedra"," ","to be a member of the New Jersey State Council on the Arts","to replace Lana Gold Walder, for the term prescribed by law, currently set to expire December 12, 2027.","Camden",1/8/2026 0:00:00
"S","1/12/2026","12:00 PM","Session","Advise and Consent","Chandler","Vedra"," ","to be a member of the New Jersey State Council on the Arts","to replace Lana Gold Walder, for the term prescribed by law, currently set to expire December 12, 2027.","Camden",1/12/2026 0:00:00
"S","3/17/2025","12:00 PM","Quorum","Referred To Committee","Chandler","Vedra"," ","to be a member of the New Jersey State Council on the Arts","to replace Lana Gold Walder, for the term prescribed by law, currently set to expire December 12, 2027.","Camden",3/17/2025 0:00:00
"S","6/28/2024","02:00 PM","Session","Reported From Committee","Chaparro","Annette"," ","to be a member of the State Parole Board","to replace Carmen Garcia, for the term prescribed by law, currently set to expire January 7, 2025.","Hoboken",6/28/2024 0:00:00
"S","6/13/2024","12:00 PM","Quorum","Referred To Committee","Chaparro","Annette"," ","to be a member of the State Parole Board","to replace Carmen Garcia, for the term prescribed by law, currently set to expire January 7, 2025.","Hoboken",6/13/2024 0:00:00
"S","6/28/2024","02:00 PM","Session","Advise and Consent","Chaparro","Annette"," ","to be a member of the State Parole Board","to replace Carmen Garcia, for the term prescribed by law, currently set to expire January 7, 2025.","Hoboken",6/28/2024 0:00:00
"S","11/20/2025","12:00 PM","Quorum","Referred To Committee","Chaparro","Annette"," ","to be a member of the State Parole Board","to succeed herself, for the term prescribed by law.","Hoboken",11/20/2025 0:00:00
"SJU","6/28/2024","11:30 AM","Meeting","Interviewed","Chaparro","Annette"," ","to be a member of the State Parole Board","to replace Carmen Garcia, for the term prescribed by law, currently set to expire January 7, 2025.","Hoboken",6/19/2024 0:00:00
"S","12/22/2025","01:00 PM","Session","Reported From Committee","Chaparro","Annette"," ","to be a member of the State Parole Board","to succeed herself, for the term prescribed by law.","Hoboken",12/22/2025 0:00:00
"S","12/22/2025","01:00 PM","Session","Advise and Consent","Chaparro","Annette"," ","to be a member of the State Parole Board","to succeed herself, for the term prescribed by law.","Hoboken",12/22/2025 0:00:00
"SJU","12/22/2025","10:00 AM","Meeting","Interviewed","Chaparro","Annette"," ","to be a member of the State Parole Board","to succeed herself, for the term prescribed by law.","Hoboken",12/19/2025 0:00:00
"S","12/8/2025","12:00 AM","Quorum","Referred To Committee","Charters","Elisa"," ","to be a member of the New Jersey Institute of Technology University Board of Trustees","to succeed herself, for the term prescribed by law.","Short Hills",12/8/2025 0:00:00
"S","6/28/2024","02:00 PM","Session","Advise and Consent","Chase","Mark","K.","to be a Judge of the Superior Court","to succeed himself, for the term prescribed by law, until reaching the age of 70 years.","Cherry Hill",6/28/2024 0:00:00
"S","6/13/2024","12:00 PM","Quorum","Reported From Committee","Chase","Mark","K.","to be a Judge of the Superior Court","to succeed himself, for the term prescribed by law, until reaching the age of 70 years.","Cherry Hill",6/13/2024 0:00:00
"S","3/18/2024","11:00 AM","Session","Referred To Committee","Chase","Mark","K.","to be a Judge of the Superior Court","to succeed himself, for the term prescribed by law, until reaching the age of 70 years.","Cherry Hill",3/18/2024 0:00:00
"SJU","6/13/2024","10:00 AM","Meeting","Interviewed","Chase","Mark","K.","to be a Judge of the Superior Court","to succeed himself, for the term prescribed by law, until reaching the age of 70 years.","Cherry Hill",5/31/2024 0:00:00
"SJU","9/26/2024","01:00 PM","Meeting","Considered","Chhabra","Gulshan"," ","to be a member of the New Jersey Motor Vehicle Commission","to replace Diane Legreide, for the term prescribed by law, currently set to expire January 1, 2026.","Watchung",9/19/2024 0:00:00
"S","5/16/2024","12:00 PM","Quorum","Referred To Committee","Chhabra","Gulshan"," ","to be a member of the New Jersey Motor Vehicle Commission","to replace Diane Legreide, for the term prescribed by law, currently set to expire January 1, 2026.","Watchung",5/16/2024 0:00:00
"S","9/26/2024","12:00 PM","Quorum","Reported From Committee","Chhabra","Gulshan"," ","to be a member of the New Jersey Motor Vehicle Commission","to replace Diane Legreide, for the term prescribed by law, currently set to expire January 1, 2026.","Watchung",9/26/2024 0:00:00
"S","9/30/2024","01:00 PM","Session","Advise and Consent","Chhabra","Gulshan"," ","to be a member of the New Jersey Motor Vehicle Commission","to replace Diane Legreide, for the term prescribed by law, currently set to expire January 1, 2026.","Watchung",9/30/2024 0:00:00
"S","11/24/2025","12:00 PM","Quorum","Referred To Committee","Chiaia","John","F.","to be a Judge of the Superior Court","to succeed the Honorable Michael L. Ravin, J.S.C., following his retirement, for the term prescribed by law.","North Caldwell",11/25/2025 0:00:00
"S","1/12/2026","12:00 PM","Session","Advise and Consent","Chiaia","John","F.","to be a Judge of the Superior Court","to succeed the Honorable Michael L. Ravin, J.S.C., following his retirement, for the term prescribed by law.","North Caldwell",1/12/2026 0:00:00
"S","1/12/2026","12:00 PM","Session","Reported From Committee","Chiaia","John","F.","to be a Judge of the Superior Court","to succeed the Honorable Michael L. Ravin, J.S.C., following his retirement, for the term prescribed by law.","North Caldwell",1/12/2026 0:00:00
"SJU","1/12/2026","10:00 AM","Meeting","Interviewed","Chiaia","John","F.","to be a Judge of the Superior Court","to succeed the Honorable Michael L. Ravin, J.S.C., following his retirement, for the term prescribed by law.","North Caldwell",1/10/2026 0:00:00
"SJU","10/24/2024","01:00 PM","Meeting","Interviewed","Chiarello","Joseph","M.","to be a Judge of the Superior Court","to succeed himself, for the term prescribed by law, until reaching the age of 70 years.","Millville",10/4/2024 0:00:00
"S","9/12/2024","12:00 PM","Quorum","Referred To Committee","Chiarello","Joseph","M.","to be a Judge of the Superior Court","to succeed himself, for the term prescribed by law, until reaching the age of 70 years.","Millville",9/12/2024 0:00:00
"S","10/24/2024","12:00 PM","Quorum","Reported From Committee","Chiarello","Joseph","M.","to be a Judge of the Superior Court","to succeed himself, for the term prescribed by law, until reaching the age of 70 years.","Millville",10/24/2024 0:00:00
"S","10/28/2024","02:00 PM","Session","Advise and Consent","Chiarello","Joseph","M.","to be a Judge of the Superior Court","to succeed himself, for the term prescribed by law, until reaching the age of 70 years.","Millville",10/28/2024 0:00:00
"S","1/12/2026","12:00 PM","Session","Advise and Consent","Chisolm-Williams","Thurselle"," ","to be a member of the State Parole Board","to replace the Honorable Julio Marenco, for the term prescribed by law.","East Orange",1/12/2026 0:00:00
"S","12/18/2025","01:00 PM","Session","Referred To Committee","Chisolm-Williams","Thurselle"," ","to be a member of the State Parole Board","to replace the Honorable Julio Marenco, for the term prescribed by law.","East Orange",12/18/2025 0:00:00
"S","1/8/2026","12:00 PM","Quorum","Reported From Committee","Chisolm-Williams","Thurselle"," ","to be a member of the State Parole Board","to replace the Honorable Julio Marenco, for the term prescribed by law.","East Orange",1/8/2026 0:00:00
"SJU","1/8/2026","10:00 AM","Meeting","Interviewed","Chisolm-Williams","Thurselle"," ","to be a member of the State Parole Board","to replace the Honorable Julio Marenco, for the term prescribed by law.","East Orange",1/6/2026 0:00:00
"SJU","1/8/2026","10:00 AM","Meeting","Interviewed","Ciesla","Lori"," ","to be a member of the Delaware River Joint Toll Bridge Commission","to succeed herself, for the term prescribed by law.","Phillipsburg",12/30/2025 0:00:00
"S","1/8/2026","12:00 PM","Quorum","Reported From Committee","Ciesla","Lori"," ","to be a member of the Delaware River Joint Toll Bridge Commission","to succeed herself, for the term prescribed by law.","Phillipsburg",1/8/2026 0:00:00
"S","1/12/2026","12:00 PM","Session","Advise and Consent","Ciesla","Lori"," ","to be a member of the Delaware River Joint Toll Bridge Commission","to succeed herself, for the term prescribed by law.","Phillipsburg",1/12/2026 0:00:00
"S","12/4/2025","12:00 AM","Quorum","Referred To Committee","Ciesla","Lori"," ","to be a member of the Delaware River Joint Toll Bridge Commission","to succeed herself, for the term prescribed by law.","Phillipsburg",12/4/2025 0:00:00
"S","12/16/2024","12:00 PM","Quorum","Referred To Committee","Cimino","Anthony"," ","to be a member of the Capital City Redevelopment Corporation","to succeed himself, for the term prescribed by law, currently set to expire May 31, 2028.","Hamilton",12/16/2024 0:00:00
"S","2/25/2025","01:00 PM","Session","Advise and Consent","Cimino","Anthony"," ","to be a member of the Capital City Redevelopment Corporation","to succeed himself, for the term prescribed by law, currently set to expire May 31, 2028.","Hamilton",2/25/2025 0:00:00
"S","2/20/2025","12:00 PM","Quorum","Reported From Committee","Cimino","Anthony"," ","to be a member of the Capital City Redevelopment Corporation","to succeed himself, for the term prescribed by law, currently set to expire May 31, 2028.","Hamilton",2/20/2025 0:00:00
"SJU","2/20/2025","11:00 AM","Meeting","Considered","Cimino","Anthony"," ","to be a member of the Capital City Redevelopment Corporation","to succeed himself, for the term prescribed by law, currently set to expire May 31, 2028.","Hamilton",2/13/2025 0:00:00
"SJU","2/20/2025","11:00 AM","Meeting","Considered","Citron","Marc"," ","to be a member of the Thomas Edison State University Board of Trustees","to fill a vacancy, for the term prescribed by law,   currently set to expire June 30, 2030.","Princeton",2/13/2025 0:00:00
"S","2/20/2025","12:00 PM","Quorum","Reported From Committee","Citron","Marc"," ","to be a member of the Thomas Edison State University Board of Trustees","to fill a vacancy, for the term prescribed by law,   currently set to expire June 30, 2030.","Princeton",2/20/2025 0:00:00
"S","2/25/2025","01:00 PM","Session","Advise and Consent","Citron","Marc"," ","to be a member of the Thomas Edison State University Board of Trustees","to fill a vacancy, for the term prescribed by law,   currently set to expire June 30, 2030.","Princeton",2/25/2025 0:00:00
"S","11/18/2024","12:00 PM","Quorum","Referred To Committee","Citron","Marc"," ","to be a member of the Thomas Edison State University Board of Trustees","to fill a vacancy, for the term prescribed by law,   currently set to expire June 30, 2030.","Princeton",11/18/2024 0:00:00
"S","12/11/2025","12:00 AM","Quorum","Referred To Committee","Clarke","Kandace","L.","to be a Judge of the Superior Court","to succeed the Honorable Linda Lordi Cavanaugh, J.S.C., following her retirement, for the term prescribed by law.","Bloomfield",12/11/2025 0:00:00
"S","1/12/2026","12:00 PM","Session","Advise and Consent","Clarke","Kandace","L.","to be a Judge of the Superior Court","to succeed the Honorable Linda Lordi Cavanaugh, J.S.C., following her retirement, for the term prescribed by law.","Bloomfield",1/12/2026 0:00:00
"S","1/8/2026","12:00 PM","Quorum","Reported From Committee","Clarke","Kandace","L.","to be a Judge of the Superior Court","to succeed the Honorable Linda Lordi Cavanaugh, J.S.C., following her retirement, for the term prescribed by law.","Bloomfield",1/8/2026 0:00:00
"SJU","1/8/2026","10:00 AM","Meeting","Interviewed","Clarke","Kandace","L.","to be a Judge of the Superior Court","to succeed the Honorable Linda Lordi Cavanaugh, J.S.C., following her retirement, for the term prescribed by law.","Bloomfield",1/6/2026 0:00:00
"SJU","1/8/2026","10:00 AM","Meeting","Considered","Clayton","Norma"," ","to be a member of the New Jersey Institute of Technology University Board of Trustees","to succeed herself, for the term prescribed by law.","Wildwood, MO",12/30/2025 0:00:00
"S","1/8/2026","12:00 PM","Quorum","Reported From Committee","Clayton","Norma"," ","to be a member of the New Jersey Institute of Technology University Board of Trustees","to succeed herself, for the term prescribed by law.","Wildwood, MO",1/8/2026 0:00:00
"S","1/12/2026","12:00 PM","Session","Advise and Consent","Clayton","Norma"," ","to be a member of the New Jersey Institute of Technology University Board of Trustees","to succeed herself, for the term prescribed by law.","Wildwood, MO",1/12/2026 0:00:00
"S","12/8/2025","12:00 AM","Quorum","Referred To Committee","Clayton","Norma"," ","to be a member of the New Jersey Institute of Technology University Board of Trustees","to succeed herself, for the term prescribed by law.","Wildwood, MO",12/8/2025 0:00:00
"S","5/12/2025","12:00 PM","Quorum","Referred To Committee","Cohen","Larry"," ","to be a member of the Domestic Companion Animal Council","to replace Kathleen Schatzmann, for the term prescribed by law, currently set to expire October 24, 2028.","Fanwood",5/12/2025 0:00:00
"S","11/20/2025","12:00 PM","Quorum","Referred To Committee","Cohen","Robert"," ","to be a member of the New Jersey Institute of Technology University Board of Trustees","to succeed himself, for the term prescribed by law.","Naples, FL",11/20/2025 0:00:00
"S","1/12/2026","12:00 PM","Session","Advise and Consent","Cohen","Robert"," ","to be a member of the New Jersey Institute of Technology University Board of Trustees","to succeed himself, for the term prescribed by law.","Naples, FL",1/12/2026 0:00:00
"S","1/8/2026","12:00 PM","Quorum","Reported From Committee","Cohen","Robert"," ","to be a member of the New Jersey Institute of Technology University Board of Trustees","to succeed himself, for the term prescribed by law.","Naples, FL",1/8/2026 0:00:00
"SJU","1/8/2026","10:00 AM","Meeting","Considered","Cohen","Robert"," ","to be a member of the New Jersey Institute of Technology University Board of Trustees","to succeed himself, for the term prescribed by law.","Naples, FL",12/30/2025 0:00:00
"SJU","1/12/2026","10:00 AM","Meeting","Considered","Cole","Christian"," ","to be a member of the Casino Reinvestment Development Authority","to replace Brett Matik, for the term prescribed by law.","Franklinville",1/11/2026 0:00:00
"S","1/6/2026","12:00 PM","Quorum","Referred To Committee","Cole","Christian"," ","to be a member of the Casino Reinvestment Development Authority","to replace Brett Matik, for the term prescribed by law.","Franklinville",1/6/2026 0:00:00
"S","1/12/2026","12:00 PM","Session","Advise and Consent","Cole","Christian"," ","to be a member of the Casino Reinvestment Development Authority","to replace Brett Matik, for the term prescribed by law.","Franklinville",1/12/2026 0:00:00
"S","1/12/2026","12:00 PM","Session","Reported From Committee","Cole","Christian"," ","to be a member of the Casino Reinvestment Development Authority","to replace Brett Matik, for the term prescribed by law.","Franklinville",1/12/2026 0:00:00
"S","1/12/2026","12:00 PM","Session","Reported From Committee","Colton","Tara"," ","to be a member of the Montclair State University - Board of Trustees","to replace Lawrence Inserra, for the term prescribed by law.","Maplewood",1/12/2026 0:00:00
"S","1/12/2026","12:00 PM","Session","Advise and Consent","Colton","Tara"," ","to be a member of the Montclair State University - Board of Trustees","to replace Lawrence Inserra, for the term prescribed by law.","Maplewood",1/12/2026 0:00:00
"SJU","1/12/2026","10:00 AM","Meeting","Considered","Colton","Tara"," ","to be a member of the Montclair State University - Board of Trustees","to replace Lawrence Inserra, for the term prescribed by law.","Maplewood",1/10/2026 0:00:00
"S","12/4/2025","12:00 AM","Quorum","Referred To Committee","Colton","Tara"," ","to be a member of the Montclair State University - Board of Trustees","to replace Lawrence Inserra, for the term prescribed by law.","Maplewood",12/4/2025 0:00:00
"S","12/8/2025","12:00 AM","Quorum","Referred To Committee","Comito","Mary"," ","to be a member of the Montclair State University - Board of Trustees","to succeed herself, for the term prescribed by law.","Roseland",12/8/2025 0:00:00
"S","3/18/2024","11:00 AM","Session","Advise and Consent","Conlon","Kelly","A.","to be a Judge of the Superior Court","to succeed The Honorable James J. Guida, following his retirement, for the term prescribed by law, ending 7 years from the date of appointment.","Wyckoff",3/18/2024 0:00:00
